employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
62589,7,14,1,0,0,1,30,3.0,5,0,0,50,0
7044,7,2,1,0,0,1,46,5.0,5,0,0,56,1
25839,7,2,1,1,1,1,35,4.0,10,1,0,53,0
27878,7,7,1,1,0,1,37,5.0,4,1,0,49,1
55739,4,29,1,1,0,1,30,5.0,5,1,0,55,0
23313,0,28,2,1,0,1,37,5.0,3,1,0,84,1
34088,8,5,1,1,1,2,34,4.0,4,1,0,78,0
62204,5,2,1,1,1,2,27,3.0,5,0,0,68,0
27872,7,16,1,1,1,1,29,3.0,3,1,0,52,1
30437,4,2,1,0,1,1,33,5.0,7,0,0,73,1
38355,4,7,1,1,0,1,46,4.0,5,0,0,62,0
37976,8,13,1,1,0,1,38,3.0,7,1,0,81,0
22595,4,13,2,1,0,1,39,3.0,6,1,0,58,1
36821,7,22,1,1,1,1,27,3.0,2,0,0,66,1
67057,7,2,1,0,1,1,33,5.0,4,1,0,51,1
59362,4,27,1,1,0,1,31,,1,1,0,60,1
11186,7,11,1,1,0,1,29,,1,0,0,48,0
11560,7,22,1,1,1,1,31,5.0,2,1,0,95,1
1700,0,34,1,1,0,2,28,4.0,5,0,0,83,0
2128,0,30,1,1,0,1,29,5.0,3,0,0,83,0
17178,0,7,2,1,1,1,35,5.0,8,1,0,87,1
18803,1,13,1,1,1,1,24,5.0,3,1,0,62,1
45357,8,27,1,1,0,1,25,4.0,3,1,1,96,1
73853,6,4,2,1,0,1,42,4.0,8,1,0,85,1
39586,0,32,1,0,0,1,28,3.0,5,0,0,82,0
51729,0,22,2,1,0,1,33,4.0,4,0,0,86,0
41140,5,15,2,1,0,1,32,2.0,8,0,0,69,0
71786,5,16,1,1,1,1,36,4.0,10,1,0,67,1
50052,0,2,2,1,0,1,41,5.0,10,0,0,91,1
12622,8,7,1,0,0,1,30,3.0,5,1,0,79,1
69972,4,22,1,1,1,1,35,3.0,5,1,0,60,1
14860,7,10,2,1,0,1,33,4.0,7,1,0,49,1
44880,5,22,1,1,0,3,27,5.0,2,0,0,68,0
2556,7,11,1,1,0,1,30,,1,1,0,49,0
43621,4,27,2,0,1,1,42,5.0,14,1,0,60,0
48737,4,4,1,1,0,2,29,5.0,5,1,0,63,1
47361,4,22,2,1,1,1,51,3.0,21,1,0,58,1
47796,4,2,2,1,1,1,52,2.0,9,1,0,61,1
19207,4,2,1,1,1,1,31,1.0,4,1,0,58,0
4781,8,28,2,0,1,1,35,3.0,9,0,0,78,0
27057,8,2,2,1,0,1,43,3.0,12,0,0,80,1
46708,5,7,2,1,0,1,40,4.0,5,1,0,68,1
66438,8,2,1,1,0,2,42,3.0,3,1,0,80,1
3356,6,11,1,1,0,1,34,4.0,8,0,0,89,0
72984,4,19,1,1,0,1,37,5.0,6,0,0,59,0
62619,5,7,1,1,0,1,30,3.0,7,1,0,69,1
59593,5,11,2,1,0,1,41,5.0,15,1,0,70,1
68666,7,7,1,1,1,1,30,,1,0,0,51,0
42237,7,2,2,1,1,1,37,5.0,10,1,0,54,1
66273,8,13,1,1,0,1,27,,1,1,0,80,0
75240,7,2,1,1,0,2,48,5.0,6,0,1,85,1
45503,5,7,2,0,0,1,35,3.0,6,0,0,72,0
67158,7,2,1,0,0,1,34,4.0,4,0,0,49,0
70764,4,16,1,1,0,1,33,3.0,7,0,0,56,0
21867,3,31,1,1,1,1,35,3.0,7,0,0,59,0
76568,3,26,1,1,0,1,31,5.0,3,1,0,62,1
45377,0,4,1,1,0,2,29,4.0,3,1,0,82,1
3063,7,2,2,1,1,1,33,5.0,6,0,1,93,1
30301,7,22,1,0,1,1,27,3.0,6,0,0,62,1
29152,4,22,1,0,0,1,34,5.0,6,0,0,74,1
40632,4,22,1,1,1,1,33,3.0,7,1,1,66,1
75589,8,31,2,0,0,1,35,5.0,10,0,0,89,1
16024,4,15,1,0,2,1,37,2.0,5,1,0,59,1
16730,7,1,2,1,1,1,31,5.0,5,1,0,50,0
7636,4,15,1,1,0,1,37,3.0,9,1,0,55,1
20136,2,2,1,0,0,2,39,5.0,5,1,0,50,0
30568,4,4,2,1,0,1,27,5.0,5,1,0,59,0
7567,0,2,1,1,1,1,32,3.0,4,0,0,86,0
11985,7,11,1,1,1,1,35,5.0,4,1,0,51,1
55121,7,22,1,1,1,2,29,3.0,7,0,0,51,0
25293,4,26,2,1,1,1,39,3.0,3,0,0,57,0
62686,4,13,2,1,1,1,41,3.0,3,1,0,58,0
1035,7,2,2,0,0,1,41,5.0,9,0,0,64,1
38227,8,16,1,1,0,1,28,1.0,7,0,0,82,1
2453,7,17,1,1,0,1,27,,1,1,0,47,1
26204,2,31,1,1,1,2,32,3.0,7,0,0,52,0
21576,7,26,1,0,0,1,29,1.0,3,0,0,50,0
14289,7,22,1,0,0,2,29,3.0,3,1,0,47,1
26909,4,2,1,1,0,1,40,5.0,7,1,0,59,0
33849,7,15,1,1,1,5,27,1.0,6,0,0,52,0
59026,8,2,2,1,1,1,50,3.0,20,1,0,80,1
67072,2,22,1,1,1,1,28,4.0,5,1,0,48,0
14540,7,7,2,0,0,2,40,3.0,11,0,0,61,1
16419,2,23,1,1,0,1,30,2.0,5,0,0,48,0
51323,4,22,1,1,1,1,28,5.0,4,1,0,57,1
67381,4,7,1,0,0,1,32,3.0,4,0,0,57,0
16721,7,2,2,1,0,1,44,4.0,13,1,0,93,1
61898,6,7,2,1,0,1,38,5.0,5,1,0,84,1
39312,7,22,1,1,1,2,28,4.0,7,0,0,62,1
60189,8,31,1,1,1,1,28,,1,0,0,81,1
10220,4,4,1,1,1,1,36,3.0,12,0,0,70,1
63238,5,7,1,1,0,2,28,2.0,2,1,0,65,1
30251,4,4,2,1,0,1,35,5.0,6,1,0,59,0
26771,0,22,1,1,1,1,37,5.0,7,1,1,86,0
28956,5,2,2,0,2,1,37,5.0,8,1,0,70,0
67347,5,7,2,1,0,1,42,3.0,9,0,0,83,1
68708,0,2,1,1,0,1,30,5.0,2,0,0,81,0
14674,7,2,1,1,0,1,32,5.0,7,1,0,53,1
59340,8,7,1,1,0,2,35,3.0,5,0,0,81,0
53619,5,2,1,1,0,1,36,5.0,4,0,1,82,1
29962,7,2,1,1,0,4,52,2.0,6,0,0,51,0
56832,0,29,1,1,1,3,31,3.0,5,0,0,83,0
61999,5,7,2,1,1,1,41,2.0,14,0,0,73,0
44189,7,11,1,1,0,1,35,3.0,7,0,0,54,0
41295,4,20,2,1,0,1,39,4.0,10,0,0,61,0
11267,4,7,1,0,1,1,36,5.0,4,1,0,60,0
8735,8,2,1,1,0,1,38,4.0,3,0,1,88,1
32601,4,15,1,1,0,2,38,4.0,9,1,0,61,1
36472,5,22,2,0,0,1,42,3.0,4,0,0,73,0
12328,0,22,1,1,1,1,30,4.0,2,1,0,81,1
23897,7,2,1,1,1,2,44,3.0,4,0,0,49,0
10717,7,7,1,0,1,1,24,3.0,3,0,0,52,0
11816,4,1,1,0,1,1,32,5.0,6,0,0,62,0
7239,8,23,1,1,1,1,26,3.0,2,1,0,81,1
11502,8,26,1,0,1,1,29,3.0,3,0,0,80,0
15275,7,2,1,1,0,2,25,5.0,2,1,0,50,0
27692,5,22,1,1,0,1,31,3.0,4,0,0,80,1
60371,7,2,2,1,1,1,48,1.0,14,0,0,49,0
10207,7,11,2,1,0,2,46,5.0,17,0,0,61,1
2304,4,20,1,1,0,1,30,4.0,3,0,0,56,0
61295,7,22,2,1,1,3,42,3.0,5,0,0,55,0
64133,5,15,1,0,0,1,33,3.0,9,0,0,67,0
42512,0,28,2,1,1,1,33,5.0,4,1,0,87,1
73295,0,7,2,1,0,2,32,3.0,4,1,1,82,1
8607,4,13,1,1,1,1,38,5.0,8,1,0,62,1
22780,8,7,1,1,0,1,47,1.0,6,0,0,75,0
16134,8,2,1,0,1,2,31,2.0,4,0,0,81,0
78108,8,13,1,1,1,1,29,5.0,5,0,1,96,1
75148,7,7,2,1,1,1,39,4.0,6,0,0,66,1
19510,7,2,1,1,0,1,34,4.0,8,1,0,58,1
62743,0,29,1,1,1,1,28,5.0,6,1,1,92,1
74642,7,11,1,1,1,2,32,3.0,5,0,0,48,0
17885,4,13,1,1,1,1,38,5.0,10,0,0,60,0
40824,8,23,2,1,0,1,43,3.0,10,0,0,81,0
20069,5,17,2,1,1,1,37,5.0,7,1,0,69,1
72380,5,33,1,1,0,1,31,3.0,3,0,0,71,0
12151,4,8,2,1,1,1,30,3.0,5,0,1,69,1
73743,2,2,2,1,0,1,49,5.0,18,1,0,51,0
65827,8,23,1,0,0,1,29,5.0,5,0,0,91,1
20039,4,15,1,0,1,1,48,3.0,7,0,0,62,0
1916,8,7,2,1,0,1,35,3.0,9,0,1,77,0
15271,2,22,2,1,1,1,48,5.0,7,0,0,46,0
61751,7,13,1,1,1,1,33,3.0,8,1,0,50,1
30484,8,2,1,0,1,1,46,2.0,18,0,0,78,0
11312,5,22,1,0,0,2,35,3.0,4,0,0,67,0
55940,0,22,1,1,1,2,27,5.0,3,0,0,80,1
35088,0,19,1,1,0,2,32,3.0,4,1,0,88,1
74345,4,2,1,0,0,1,35,5.0,6,1,0,56,1
30904,5,31,1,1,0,1,41,3.0,15,0,0,72,0
21781,4,13,1,0,0,1,39,3.0,11,0,0,58,0
60230,4,19,1,1,1,2,38,5.0,5,1,0,60,0
25590,7,30,1,1,0,1,39,4.0,7,0,0,48,0
55682,0,22,1,1,0,2,26,,1,0,1,82,1
14882,8,22,1,0,0,1,28,3.0,4,0,0,81,0
72813,7,7,1,1,0,2,40,4.0,9,0,0,64,1
77906,0,19,1,1,1,1,28,3.0,3,0,0,85,0
31842,7,16,1,1,1,2,30,3.0,2,0,0,47,0
68002,4,2,1,1,0,1,32,5.0,4,1,0,59,1
3381,5,11,1,0,1,1,30,,1,1,0,69,1
51774,4,22,1,1,1,1,34,5.0,6,1,0,57,1
78035,8,16,1,1,1,1,36,5.0,10,1,0,81,1
65276,7,29,1,1,1,1,29,4.0,2,1,0,50,1
6767,4,30,1,0,1,1,35,4.0,10,1,0,62,1
20146,5,7,2,0,0,1,44,3.0,3,1,0,68,0
27760,7,11,1,1,0,3,27,,1,1,0,47,0
50143,7,7,2,1,1,2,45,3.0,4,0,0,65,1
74408,8,22,1,0,0,1,30,3.0,3,0,0,79,0
20516,7,2,1,1,0,1,24,3.0,2,1,1,81,1
45028,0,22,1,1,1,1,26,3.0,3,0,0,87,0
20788,8,16,2,1,0,1,33,5.0,6,1,0,78,1
23487,5,22,1,1,0,1,26,3.0,2,1,0,99,1
64414,5,2,1,0,2,1,33,3.0,5,0,0,80,1
69401,8,13,2,0,1,1,36,3.0,4,0,0,83,1
41457,8,27,1,0,1,1,35,5.0,6,1,0,77,1
77107,7,22,1,0,0,1,29,3.0,7,0,0,53,0
33491,6,2,1,1,0,2,25,,1,0,0,87,0
13263,8,26,1,1,0,1,27,3.0,2,1,0,77,1
20343,7,2,2,1,1,1,37,3.0,7,0,0,59,1
19204,8,33,1,1,0,1,28,,1,1,1,79,0
29526,0,22,1,1,0,1,27,,1,0,0,80,0
51443,4,13,2,1,0,1,50,5.0,8,1,0,61,1
30970,7,2,1,0,1,1,29,5.0,4,1,0,48,0
56778,4,4,1,1,0,1,27,5.0,2,1,0,55,1
56773,4,2,1,1,1,1,31,3.0,2,0,0,72,1
64643,7,23,1,0,0,1,34,4.0,3,0,0,52,0
27976,1,28,2,1,1,3,35,4.0,3,1,0,61,1
8855,5,2,1,1,0,1,24,,1,1,0,71,0
76174,1,13,1,1,0,1,27,,1,1,0,60,0
73466,4,15,1,0,0,1,33,5.0,7,1,0,56,1
547,8,25,2,0,1,1,33,3.0,7,0,0,77,0
69838,8,2,1,0,0,1,26,,1,0,0,77,0
51800,0,22,1,0,0,1,31,5.0,5,1,0,88,1
16548,4,7,1,1,0,1,32,5.0,8,1,0,63,1
31699,2,2,2,0,0,1,33,1.0,8,0,0,44,0
55058,7,10,1,1,0,1,27,4.0,4,0,0,64,1
3346,7,1,1,1,1,1,34,3.0,7,1,0,54,1
62660,0,22,1,1,0,1,28,3.0,2,1,0,88,1
17910,0,7,1,1,1,1,36,3.0,5,0,0,85,0
8524,7,2,1,0,0,1,42,5.0,7,0,0,47,0
35222,8,2,1,1,0,1,31,3.0,3,0,0,79,0
18744,7,27,1,1,0,1,31,5.0,7,0,0,61,1
41696,7,11,1,1,1,1,28,3.0,2,1,0,54,1
17338,7,22,1,1,1,2,25,3.0,1,0,0,48,0
59933,7,13,1,1,0,1,43,5.0,5,1,0,52,1
38428,8,5,2,0,0,1,32,5.0,5,0,0,95,1
67583,2,2,1,1,2,1,26,5.0,2,0,0,50,0
35643,7,28,1,1,1,2,38,3.0,10,0,0,45,0
43738,7,2,1,0,0,1,20,,1,0,0,48,0
32403,4,2,2,0,1,1,44,5.0,6,1,0,54,0
20877,7,4,1,0,0,1,30,3.0,8,1,0,50,1
70048,7,1,2,1,0,1,37,3.0,10,1,0,49,1
63889,4,13,1,1,1,1,41,4.0,4,0,1,73,1
7693,4,15,1,1,0,1,34,3.0,7,1,0,58,0
42590,8,23,1,0,0,2,29,3.0,2,1,0,93,1
34931,7,7,1,1,0,1,45,1.0,17,0,0,62,1
10607,0,8,1,1,1,1,27,5.0,5,1,0,87,1
21888,0,26,1,1,0,1,39,1.0,8,0,0,81,0
67063,7,2,1,1,0,2,31,5.0,5,0,0,54,0
66378,2,2,1,1,2,1,26,4.0,1,0,0,53,0
59050,4,22,1,1,1,1,35,5.0,9,1,0,59,1
67746,8,23,2,0,0,1,38,4.0,9,1,0,78,0
27887,7,7,1,1,0,1,41,2.0,14,0,0,70,1
33768,7,19,1,1,1,1,27,,1,0,0,50,0
7,4,32,1,1,0,1,31,3.0,7,0,0,59,0
36240,4,2,1,1,0,1,31,4.0,5,0,0,62,0
52327,2,2,1,1,0,1,54,4.0,4,0,0,48,0
48564,7,4,2,1,0,1,32,1.0,10,0,0,54,0
43952,7,2,2,1,0,1,36,3.0,3,0,0,59,1
63414,0,4,2,1,0,1,32,3.0,9,1,0,81,1
68271,7,4,2,1,1,2,42,5.0,9,0,0,49,0
66528,8,14,2,1,1,1,38,3.0,9,0,0,79,0
72700,7,23,2,1,0,2,36,3.0,7,0,0,50,0
25041,2,22,1,0,2,1,28,2.0,2,1,0,52,1
2733,7,14,1,1,1,1,29,,1,1,0,48,1
49842,7,29,1,0,0,1,33,4.0,4,1,0,57,1
56814,7,7,1,1,1,1,31,5.0,2,0,0,68,1
41055,8,31,2,1,0,1,46,3.0,17,0,0,80,0
30919,8,1,1,1,0,1,25,,1,0,0,77,0
3413,5,11,2,0,1,1,38,3.0,8,1,0,71,1
18725,7,1,1,1,1,1,37,5.0,9,1,0,49,1
72057,0,22,1,0,1,1,28,5.0,3,0,0,89,1
7940,7,30,1,1,0,2,29,,1,0,0,47,0
26364,7,23,2,1,0,2,39,3.0,2,1,0,47,1
47683,7,7,1,1,0,1,37,1.0,9,0,0,44,0
50782,4,4,1,0,0,1,33,5.0,7,1,0,55,1
70436,7,6,1,1,0,2,25,,1,0,0,49,0
42001,7,23,2,1,0,1,32,1.0,5,0,0,56,0
11913,7,7,2,1,1,1,52,3.0,20,0,0,50,0
6913,8,7,2,1,0,1,33,4.0,5,0,0,81,0
23096,4,5,1,1,0,2,28,3.0,6,1,0,57,1
49910,8,25,2,1,0,1,36,4.0,8,1,0,79,1
36527,8,26,1,0,0,1,25,4.0,2,1,0,80,0
72334,4,4,1,1,0,1,38,5.0,11,1,0,62,1
63424,4,22,1,0,2,1,29,5.0,2,0,0,69,1
63050,7,25,2,1,1,1,37,3.0,5,0,0,50,0
66430,0,28,1,1,1,1,35,5.0,8,0,0,87,0
35318,2,11,2,1,1,1,44,4.0,13,1,0,52,1
54225,4,7,2,0,1,1,43,4.0,7,0,0,70,1
70311,8,2,1,1,0,2,34,1.0,9,0,0,80,0
69674,7,32,1,1,0,1,38,4.0,7,1,0,43,1
32345,7,2,1,1,1,1,49,3.0,18,0,0,48,0
17782,0,7,1,0,1,1,34,3.0,6,0,0,82,1
67278,1,4,2,1,0,1,32,3.0,5,0,0,74,1
50162,8,22,2,1,1,4,33,5.0,6,0,0,77,0
9998,7,11,2,1,0,1,42,3.0,5,1,0,52,0
34210,5,2,2,1,1,1,41,3.0,11,0,0,83,1
9099,7,23,1,1,0,1,29,3.0,4,0,0,49,0
37500,8,20,1,0,0,1,31,5.0,4,0,1,88,1
44908,4,4,2,0,0,1,43,3.0,7,1,0,61,1
74021,5,2,1,1,1,1,36,4.0,3,0,0,68,0
73735,0,25,1,1,0,1,30,5.0,3,1,0,84,0
16601,4,28,1,0,0,1,30,1.0,4,1,1,62,0
33873,8,10,2,1,1,1,39,4.0,4,1,0,76,1
45914,7,2,1,1,1,1,36,3.0,9,1,0,43,1
62309,4,16,1,0,1,1,49,5.0,3,0,0,66,1
43294,0,2,2,1,1,2,56,4.0,14,1,0,84,1
64456,7,2,2,0,1,1,44,3.0,11,0,0,51,0
31379,5,8,2,0,0,1,32,2.0,9,0,0,88,1
56384,2,2,1,1,1,1,35,3.0,7,1,0,51,1
1627,4,5,0,1,1,1,23,,1,0,0,60,0
58148,0,7,1,1,1,1,30,4.0,3,0,0,91,1
37239,8,28,2,1,1,1,35,4.0,8,1,0,79,1
21416,2,26,1,1,1,1,27,4.0,3,1,0,55,0
67490,2,2,0,1,0,1,20,5.0,2,1,0,47,1
29711,7,22,1,1,1,2,27,,1,0,0,85,1
7883,6,22,1,1,0,1,28,3.0,6,1,0,87,1
23216,5,13,2,0,0,1,34,5.0,7,1,0,74,1
30004,5,2,1,0,1,1,35,5.0,6,1,0,71,1
70161,8,7,2,1,1,1,49,3.0,19,0,0,80,0
78139,7,2,2,1,1,1,50,5.0,10,1,0,54,1
15909,8,2,1,0,0,1,46,1.0,3,0,0,79,0
57265,4,2,2,0,0,1,44,3.0,6,1,0,96,1
9876,5,22,1,1,0,5,29,1.0,5,0,0,69,0
26354,0,23,2,1,1,1,36,3.0,9,0,0,83,0
32168,1,26,1,1,0,1,26,,1,1,0,59,1
57524,0,2,2,1,0,3,60,5.0,8,0,0,87,1
18530,0,15,1,1,1,1,29,4.0,3,1,0,88,0
30474,7,22,1,1,2,2,27,4.0,4,1,0,51,1
54923,0,2,1,1,0,1,32,3.0,6,1,0,85,1
72501,7,2,1,1,2,1,51,5.0,19,1,0,48,0
1068,4,2,1,0,0,1,32,5.0,6,1,0,54,1
17406,8,2,2,0,1,1,35,4.0,5,0,0,79,0
14650,7,1,2,1,0,1,49,3.0,15,0,0,64,1
28782,7,17,2,1,1,1,35,3.0,10,1,0,48,1
17250,2,26,1,1,1,1,28,4.0,4,1,0,59,1
63930,4,4,1,1,0,2,31,4.0,7,0,0,58,0
43806,7,2,1,0,0,2,35,1.0,6,0,0,49,0
73461,5,2,2,0,1,1,50,5.0,8,1,0,63,1
44284,8,7,1,1,0,1,29,4.0,8,1,0,85,1
3524,3,27,1,1,0,1,33,5.0,9,0,0,68,1
10377,7,22,1,1,1,1,26,4.0,2,1,0,53,0
32446,4,15,1,1,0,1,36,5.0,3,1,0,64,1
45418,3,2,1,1,0,1,30,,1,0,0,62,0
22441,7,22,2,0,1,1,33,3.0,6,0,0,51,0
6132,7,7,1,1,1,1,37,5.0,10,0,0,61,1
46355,8,2,1,1,0,1,31,3.0,3,0,0,83,1
31092,5,16,1,0,0,1,25,,1,0,0,71,0
62439,4,27,1,1,1,1,32,3.0,5,0,0,62,0
36558,0,7,1,1,0,4,27,3.0,4,1,0,85,1
73765,4,21,1,1,0,1,31,4.0,6,0,0,63,0
68467,7,2,2,1,1,1,36,5.0,2,1,0,52,1
43671,6,2,2,1,1,1,41,4.0,3,1,0,98,1
69400,7,23,1,1,0,1,24,,1,1,0,51,1
77100,5,20,1,0,1,1,34,3.0,6,1,0,69,0
72115,4,2,1,0,1,1,31,1.0,7,1,1,60,1
9759,8,2,1,0,1,2,32,3.0,4,0,0,89,1
40392,7,17,2,1,0,1,42,3.0,7,0,0,54,0
10222,8,2,2,1,0,1,39,3.0,7,1,0,78,1
39972,0,13,1,1,1,1,31,3.0,6,1,0,88,0
34741,4,15,1,1,1,1,36,3.0,7,0,0,70,1
24083,5,8,1,0,1,1,31,3.0,3,1,0,68,0
36652,2,2,2,1,2,1,53,3.0,4,0,1,88,1
21476,7,1,2,1,1,1,39,3.0,4,0,1,62,1
46890,7,2,1,1,1,1,39,5.0,3,1,0,51,0
51188,4,2,2,1,0,1,54,3.0,16,1,0,60,0
13903,4,32,1,1,0,1,27,3.0,3,0,0,60,0
65112,7,13,1,1,0,2,30,,1,0,0,62,1
39741,5,31,1,1,0,2,30,,1,0,0,65,0
24864,4,11,1,0,1,1,29,2.0,3,0,0,61,0
